Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	58145.09	19253.26	23848.154	34469.863
100	95924.38	16152.715	29038.525	18942.734
150	91686.12	20243.85	119128.92	18158.46
200	170005.4	38855.92	62392.875	25402.785
250	239496.2	52040.863	58699.81	26414.51
300	340881.72	71301.73	82682.87	32646.455
350	464548.16	95927.8	111891.56	39116.266
400	608198.4	128453.12	150042.36	47193.766
450	742819.94	149158.42	180200.08	50299.98
500	926477.44	192038.81	231296.5	57845.953
550	1121196.4	219473.2	268490.38	61749.82
600	1315484.9	256500.5	315296.25	67468.64
650	1522352.6	296764.25	363365.38	74534.68
700	1788518.8	347880.1	427470.1	82765.02
750	2011737.5	391253.97	481918.12	89069.84
800	2275570.5	447475.84	550358.75	93649.02
850	2573137.0	497379.44	615922.3	101479.45
900	2895188.8	555252.94	698067.5	107845.38
950	3205300.8	616487.44	769531.8	113429.64
1000	3559339.2	678152.94	854579.6	121313.4
